timestamp;address;bus;strings;stringid;pac;pdc;udc;temp
1518334802;2;2;2;1;748;800;599;14
1518364802;2;2;2;1;233;300;556;20
1518346201;2;2;2;1;3534;3621;638;21
1518355502;2;2;2;1;3079;3165;620;24
1518336901;2;2;2;1;521;578;590;15
1518366901;2;2;2;1;8;70;421;20
1518339001;2;2;2;1;1891;1952;652;17
1518357603;2;2;2;1;2484;2560;619;24
1518348303;2;2;2;1;3982;4067;633;23
1518359702;2;2;2;1;1853;1921;614;23
1518350402;2;2;2;1;4028;4118;624;24
1518341102;2;2;2;1;2557;2626;628;19
1518331802;2;2;2;1;4;68;418;11
1518361802;2;2;2;1;857;916;595;22
1518343201;2;2;2;1;1656;1718;617;20
1518352503;2;2;2;1;3448;3532;623;24
1518333902;2;2;2;1;757;807;600;13
1518363902;2;2;2;1;569;628;583;21
1518345301;2;2;2;1;4052;4143;638;21
1518354602;2;2;2;1;3085;3168;618;24
1518336002;2;2;2;1;244;306;566;15
1518366002;2;2;2;1;15;67;432;20
1518356702;2;2;2;1;3402;3487;627;24
1518347403;2;2;2;1;3963;4054;633;23
1518338102;2;2;2;1;2063;2127;652;17
1518340201;2;2;2;1;2225;2291;628;18
1518349502;2;2;2;1;4196;4292;630;24
1518358803;2;2;2;1;1915;1983;613;23
1518360902;2;2;2;1;1520;1584;609;23
1518351602;2;2;2;1;2756;2835;620;23
1518342301;2;2;2;1;2968;3042;629;20
1518333001;2;2;2;1;313;376;574;12
1518363002;2;2;2;1;683;741;589;21
1518344401;2;2;2;1;2331;2407;631;20
1518353702;2;2;2;1;4197;4294;625;24
1518335102;2;2;2;1;528;582;586;15
1518365102;2;2;2;1;159;228;543;20
1518346501;2;2;2;1;4181;4271;639;22
1518355802;2;2;2;1;2549;2626;617;24
1518337202;2;2;2;1;797;852;606;16
1518367201;2;2;2;1;6;62;413;19
1518357902;2;2;2;1;2042;2111;614;24
1518339301;2;2;2;1;2321;2391;654;18
1518346769;2;2;2;1;5065;5179;640;22
1518348603;2;2;2;1;4216;4311;634;23
1518360002;2;2;2;1;2033;2104;617;23
1518350702;2;2;2;1;2994;3075;619;24
1518341402;2;2;2;1;2688;2760;628;19
1518332102;2;2;2;1;21;79;421;11
1518362102;2;2;2;1;525;585;580;22
1518343501;2;2;2;1;1802;1865;621;20
1518334201;2;2;2;1;826;877;602;14
1518352803;2;2;2;1;3776;3868;624;24
1518364202;2;2;2;1;374;437;570;21
1518345601;2;2;2;1;3220;3301;632;21
1518354902;2;2;2;1;2968;3052;618;24
1518336302;2;2;2;1;199;267;559;15
1518366301;2;2;2;1;10;58;410;20
1518357002;2;2;2;1;2812;2890;622;24
1518347703;2;2;2;1;4133;4228;634;23
1518338402;2;2;2;1;1854;1900;657;17
1518359102;2;2;2;1;2125;2198;617;23
1518349802;2;2;2;1;4442;4542;628;24
1518340501;2;2;2;1;2757;2829;631;19
1518361202;2;2;2;1;1259;1325;605;23
1518351902;2;2;2;1;3052;3137;622;23
1518333301;2;2;2;1;436;490;581;12
1518342602;2;2;2;1;2227;2290;622;20
1518344701;2;2;2;1;3384;3471;639;20
1518354002;2;2;2;1;3443;3526;621;24
1518363303;2;2;2;1;603;660;584;21
1518335402;2;2;2;1;264;326;567;15
1518365402;2;2;2;1;242;309;558;20
1518356102;2;2;2;1;2152;2224;615;24
1518337502;2;2;2;1;1100;1156;617;16
1518367501;2;2;2;1;2;57;412;19
1518358202;2;2;2;1;2018;2085;614;23
1518339601;2;2;2;1;2174;2240;643;18
1518348903;2;2;2;1;4164;4261;633;24
1518360302;2;2;2;1;2347;2420;620;23
1518351002;2;2;2;1;2834;2910;619;24
1518341702;2;2;2;1;3016;3096;631;20
1518332402;2;2;2;1;84;138;491;11
1518362402;2;2;2;1;386;452;570;22
1518343801;2;2;2;1;1772;1837;621;20
1518334501;2;2;2;1;808;860;602;14
1518353103;2;2;2;1;3845;3939;625;24
1518364502;2;2;2;1;236;302;554;21
1518345901;2;2;2;1;2404;2478;627;21
1518355202;2;2;2;1;2856;2939;617;24
1518336601;2;2;2;1;276;340;571;15
1518366601;2;2;2;1;5;52;416;20
1518357303;2;2;2;1;2411;2486;619;24
1518348003;2;2;2;1;4735;4834;637;23
1518338702;2;2;2;1;1565;1627;648;17
1518359402;2;2;2;1;2167;2239;618;23
1518350102;2;2;2;1;4573;4672;627;24
1518340802;2;2;2;1;2717;2791;630;19
1518361502;2;2;2;1;1224;1286;604;22
1518352202;2;2;2;1;3506;3595;624;24
1518342902;2;2;2;1;1781;1843;618;20
1518333602;2;2;2;1;609;660;592;13
1518345001;2;2;2;1;3509;3595;637;21
1518354302;2;2;2;1;3381;3462;620;24
1518363603;2;2;2;1;615;670;585;21
1518335702;2;2;2;1;245;309;565;15
1518365702;2;2;2;1;73;135;498;20
1518356402;2;2;2;1;2802;2885;622;24
1518347103;2;2;2;1;4878;4977;637;23
1518337802;2;2;2;1;1653;1713;634;16
1518339901;2;2;2;1;2253;2321;636;18
1518358503;2;2;2;1;1676;1740;609;23
1518349203;2;2;2;1;4218;4314;631;24
1518360602;2;2;2;1;2087;2157;617;23
1518351302;2;2;2;1;2776;2854;620;24
1518342001;2;2;2;1;3372;3452;633;20
1518332702;2;2;2;1;203;268;557;12
1518362702;2;2;2;1;505;567;578;22
1518344101;2;2;2;1;1631;1692;621;20
1518353403;2;2;2;1;4251;4348;626;24
