timestamp;address;bus;strings;stringid;pac;pdc;udc;temp
1518246901;2;2;2;1;40;110;428;12
1518274804;2;2;2;1;638;691;591;20
1518267600;2;2;2;1;4591;4691;639;23
1518258300;2;2;2;1;4308;4403;645;22
1518249001;2;2;2;1;191;254;578;13
1518276904;2;2;2;1;777;833;598;20
1518269700;2;2;2;1;1256;1321;608;22
1518260400;2;2;2;1;3537;3628;642;22
1518251100;2;2;2;1;672;724;619;15
1518279004;2;2;2;1;243;308;564;20
1518271800;2;2;2;1;581;637;588;21
1518262500;2;2;2;1;3060;3143;634;22
1518253200;2;2;2;1;1614;1673;646;16
1518273900;2;2;2;1;501;560;584;20
1518264600;2;2;2;1;3185;3271;631;22
1518255300;2;2;2;1;3051;3119;648;18
1518246001;2;2;2;1;2;34;404;11
1518266700;2;2;2;1;2940;3024;631;22
1518257400;2;2;2;1;3680;3775;648;21
1518248101;2;2;2;1;111;176;555;13
1518276004;2;2;2;1;904;962;603;20
1518259500;2;2;2;1;3883;3978;648;22
1518250201;2;2;2;1;488;544;607;14
1518278104;2;2;2;1;440;501;580;20
1518268804;2;2;2;1;2242;2316;623;23
1518270900;2;2;2;1;684;741;592;21
1518261600;2;2;2;1;2846;2924;636;22
1518252301;2;2;2;1;868;923;627;16
1518280204;2;2;2;1;30;85;437;19
1518263700;2;2;2;1;3129;3207;632;22
1518254400;2;2;2;1;1584;1647;643;17
1518273004;2;2;2;1;714;772;596;21
1518265800;2;2;2;1;2602;2677;624;22
1518256500;2;2;2;1;4641;4749;652;20
1518247201;2;2;2;1;52;110;480;12
1518275104;2;2;2;1;550;608;587;20
1518267900;2;2;2;1;3894;3989;634;24
1518258600;2;2;2;1;3151;3230;638;22
1518249301;2;2;2;1;216;280;582;14
1518277204;2;2;2;1;691;746;594;20
1518260700;2;2;2;1;3377;3465;640;22
1518251401;2;2;2;1;703;755;620;15
1518279304;2;2;2;1;196;265;555;20
1518270004;2;2;2;1;1141;1202;607;22
1518272100;2;2;2;1;548;608;587;21
1518262800;2;2;2;1;3098;3183;633;22
1518253500;2;2;2;1;1768;1816;650;17
1518264900;2;2;2;1;2778;2856;627;22
1518255600;2;2;2;1;4105;4166;653;19
1518246301;2;2;2;1;8;66;424;11
1518274204;2;2;2;1;494;553;583;20
1518267000;2;2;2;1;3646;3738;636;23
1518257700;2;2;2;1;3914;4008;649;21
1518248401;2;2;2;1;127;194;563;13
1518276304;2;2;2;1;911;969;603;20
1518259800;2;2;2;1;3648;3742;645;22
1518250501;2;2;2;1;469;525;606;15
1518278404;2;2;2;1;356;418;575;20
1518269104;2;2;2;1;1857;1923;618;23
1518271200;2;2;2;1;538;600;585;21
1518261900;2;2;2;1;2863;2943;635;22
1518252600;2;2;2;1;1047;1103;634;16
1518280504;2;2;2;1;16;77;436;19
1518264000;2;2;2;1;3218;3300;633;22
1518254700;2;2;2;1;3271;3344;656;17
1518273304;2;2;2;1;671;727;593;21
1518266100;2;2;2;1;2139;2213;621;22
1518256800;2;2;2;1;4946;5028;650;21
1518247501;2;2;2;1;74;130;496;12
1518275404;2;2;2;1;683;740;594;20
1518268200;2;2;2;1;2644;2716;625;23
1518258900;2;2;2;1;3469;3560;644;22
1518249600;2;2;2;1;338;397;592;14
1518277504;2;2;2;1;627;681;591;20
1518261000;2;2;2;1;2720;2796;636;22
1518251701;2;2;2;1;698;749;620;15
1518279604;2;2;2;1;130;198;543;20
1518270304;2;2;2;1;1036;1096;604;22
1518272400;2;2;2;1;531;591;586;21
1518263100;2;2;2;1;3304;3389;634;22
1518253801;2;2;2;1;1322;1372;643;17
1518265200;2;2;2;1;3087;3172;631;22
1518255900;2;2;2;1;3458;3535;646;19
1518246601;2;2;2;1;24;90;436;11
1518274504;2;2;2;1;519;578;585;20
1518267300;2;2;2;1;4440;4543;639;23
1518258000;2;2;2;1;5283;5385;653;22
1518248701;2;2;2;1;148;218;566;13
1518276604;2;2;2;1;817;873;600;20
1518269400;2;2;2;1;1494;1559;613;22
1518260100;2;2;2;1;3578;3666;642;22
1518250800;2;2;2;1;523;580;610;15
1518278704;2;2;2;1;291;355;570;20
1518271500;2;2;2;1;524;587;585;21
1518262200;2;2;2;1;3029;3112;635;22
1518252900;2;2;2;1;1149;1210;638;16
1518280804;2;2;2;1;3;65;425;19
1518273600;2;2;2;1;611;667;589;21
1518264300;2;2;2;1;2856;2939;629;22
1518255000;2;2;2;1;3638;3713;653;18
1518266400;2;2;2;1;2566;2641;627;22
1518257100;2;2;2;1;3974;4060;645;21
1518247801;2;2;2;1;83;137;481;13
1518275704;2;2;2;1;860;918;601;20
1518268500;2;2;2;1;2187;2256;621;23
1518259200;2;2;2;1;3545;3634;646;22
1518249900;2;2;2;1;491;547;607;14
1518277804;2;2;2;1;549;605;587;20
1518270600;2;2;2;1;869;928;599;22
1518261300;2;2;2;1;2840;2917;637;22
1518252001;2;2;2;1;732;784;622;16
1518279904;2;2;2;1;82;152;526;20
1518272700;2;2;2;1;622;679;590;21
1518263400;2;2;2;1;2793;2867;630;22
1518254101;2;2;2;1;1690;1745;648;17
1518265500;2;2;2;1;3105;3183;629;23
1518256200;2;2;2;1;3821;3910;649;20
